customer_id,customer_name,birthdate,gender
5453032,Seo Ji-Ho,2007-08-14,Male
4712268,David Lee,1960-07-21,Female
2628382,Alex Wesker,1994-01-14,Male
4689017,Jessica Sherawat,1974-08-29,Female
2914170,Quint Cetcham,1963-01-18,Male
7676802,Brad Vickers,1981-02-08,Female
3825756,Lee Kang-Ji,1965-02-12,Male
7184151,Lee Yoon-Hee,1971-08-04,Female
2716353,Hyun Woo,1960-10-16,Male
9453897,Parker Luciani,1967-05-28,Female
6941321,Wongjirasak Maneerut,1991-10-21,Male
9319242,Mikhail Viktor,1989-11-20,Female
5835631,Steve Burnside,1979-07-06,Male
8635821,Albert Wesker,1975-05-26,Female
7845424,Moira Burton,2000-08-08,Male
8375073,Jill Valentine,1962-06-01,Female
9948316,Ryoo Hye-Young,1977-09-29,Male
7322004,Jeon Ye-Seul,1995-02-12,Female
5157210,Karl Heisenberg,1959-11-14,Male
9342312,Rebecca Chambers,1961-10-01,Female
3567375,Lee Soo-Kyung,1959-10-03,Male
5900331,Kim Min-Seok,1969-06-16,Female
4936713,Nui Chernyim,1959-11-22,Male
9811302,Lee Jung-Eun,1994-02-20,Female
7052127,Raymond Vester,1959-10-19,Male
7748077,Sherry Birkin,2008-07-25,Female
1797195,Helena Harper,1979-03-08,Male
3410340,Jeab Pijittra Siriwetchapan,1971-08-02,Female
9637324,Lee Seung-Hun,2008-02-04,Male
6455479,Mia Winters,1965-05-17,Female
3334377,Yang Joon-Myung,1972-05-11,Male
9005766,Yang Jong-Hoon,1981-08-14,Female
9409533,Not Akkaranat Ariyaritwikul,1959-09-04,Male
4576902,Ada Wong,1982-02-15,Female
3893138,Keith Lumley,1984-07-09,Male
8890573,Kim Eun-Suk,1985-10-12,Female
9521335,Kim Beom,1969-03-14,Male
9724784,Kim Myung-Min,1997-11-19,Female
1190581,Excella Gionne,1967-04-10,Male
9554349,Chris Redfield,1977-11-27,Female
6751544,Off Pongpat Wachirabunjong,2000-05-13,Male
5691842,Josh Stone,1995-09-24,Female
2481270,Wasin Pokpong,1960-07-19,Male
4409740,Sheva Alomar,2007-06-03,Female
7068056,Natalia Korda,1996-04-03,Male
4538738,Billy Coen,1969-07-27,Female
1076767,Ashley Graham,1997-11-22,Male
5193284,William Birkin,1997-01-17,Female
7956685,Moss Nisa Boonsantia,1987-09-01,Male
1017300,Jaturong Mokjok,1961-05-01,Female
6743967,Wittawat Arisara,2007-09-20,Male
5557590,Jack Krauser,1960-08-29,Female
2656269,Seo Byung-Ju,2007-02-09,Male
3363082,Oh Man-Seok,2005-02-03,Male
2093014,Tukky Sudarat Butrprom,1984-06-29,Male
6219397,Claire Redfield,1990-07-22,Female
3806026,Kang Sol B,1964-01-04,Male
5765632,Luerfuer Mokjok,1981-05-09,Female
6729636,Woo Hyeon,1989-05-27,Female
5613884,Ethan Winters,1969-06-26,Female
9907533,Jake Muller,1986-02-05,Female
5458574,Nikolai Zinoviev,1989-10-14,Female
3898454,Leon S. Kennedy,1959-12-07,Female
1956586,Carlos Oliveira,1960-11-15,Female
9334859,Ingrid Hunnigan,1978-07-25,Female
1924150,Puttipong Promsaka Na Sakolnakorn,1994-09-05,Female
7674969,Ko Yoon-Jung,1976-10-14,Female
5816900,Rose Winters,1986-03-03,Female
3951118,Ahn Nae-Sang,1985-06-27,Male
5195899,Peerawat Herabat,1996-06-24,Female
7776517,Sung Dong-Il,1959-11-18,Male
4835445,Han Joon-Hwi,1960-11-18,Female
1919330,Kang Sol A,2006-05-18,Male
6028740,Gil Hae-Yeon,1971-06-18,Female
6646303,Mildy Paveena Rojjindangam,1977-01-15,Male
9077733,Alcina Dimitrescu,1991-10-15,Female
7223558,Joe Baker,1977-03-29,Male
6669318,Barry Burton,1997-10-11,Female
5765865,Piers Nivans,1964-02-25,Male
3043854,Jung Dae-Hyeon,1977-11-15,Female
4776560,Yanika Thongprayoon,2007-10-04,Male
3355776,Carla Radames,1981-01-16,Female
